DateTime,MV Ratio,Price
2017-05-01T00:00:00.000Z,2.56,1487.88
2017-05-08T00:00:00.000Z,2.82,1714.5
2017-05-15T00:00:00.000Z,2.93,1862.21
2017-05-22T00:00:00.000Z,3.21,2258.82
2017-05-29T00:00:00.000Z,3.22,2367.46
2017-06-05T00:00:00.000Z,3.56,2786.04
2017-06-12T00:00:00.000Z,3.05,2563.04
2017-06-19T00:00:00.000Z,3.02,2659.59
2017-06-26T00:00:00.000Z,2.77,2495.73
2017-07-03T00:00:00.000Z,2.76,2572.28
2017-07-10T00:00:00.000Z,2.38,2252.81
2017-07-17T00:00:00.000Z,2.65,2510.54
2017-07-24T00:00:00.000Z,2.66,2680.99
2017-07-31T00:00:00.000Z,2.59,2898.7
2017-08-07T00:00:00.000Z,2.83,3548.02
2017-08-14T00:00:00.000Z,3.04,4165.17
2017-08-21T00:00:00.000Z,2.81,4196.23
2017-08-28T00:00:00.000Z,2.95,4588.25
2017-09-04T00:00:00.000Z,2.7,4375.31
2017-09-11T00:00:00.000Z,2.26,3826.45
2017-09-18T00:00:00.000Z,2.29,3802.46
2017-09-25T00:00:00.000Z,2.43,4104.75
2017-10-02T00:00:00.000Z,2.51,4365.03
2017-10-09T00:00:00.000Z,2.87,5206.4
2017-10-16T00:00:00.000Z,3.02,5727.07
2017-10-23T00:00:00.000Z,2.86,5788.28
2017-10-30T00:00:00.000Z,3.2,6835.21
2017-11-06T00:00:00.000Z,2.97,6904.8
2017-11-13T00:00:00.000Z,2.97,7241.05
2017-11-20T00:00:00.000Z,3.13,8319.55
2017-11-27T00:00:00.000Z,3.51,10243.69
2017-12-04T00:00:00.000Z,4.24,13656.86
2017-12-11T00:00:00.000Z,4.23,17292.75
2017-12-18T00:00:00.000Z,3.49,15786.45
2017-12-25T00:00:00.000Z,3.09,14244.84
2018-01-01T00:00:00.000Z,3.19,15227.3
2018-01-08T00:00:00.000Z,2.81,14203.35
2018-01-15T00:00:00.000Z,2.28,11866.17
2018-01-22T00:00:00.000Z,2.09,11146.74
2018-01-29T00:00:00.000Z,1.85,9649.47
2018-02-05T00:00:00.000Z,1.53,7939.09
2018-02-12T00:00:00.000Z,1.82,9622.91
2018-02-19T00:00:00.000Z,1.97,10424.18
2018-02-26T00:00:00.000Z,1.97,10771.62
2018-03-05T00:00:00.000Z,1.88,9931.43
2018-03-12T00:00:00.000Z,1.63,8485
2018-03-19T00:00:00.000Z,1.63,8693.13
2018-03-26T00:00:00.000Z,1.44,7470.01
2018-04-02T00:00:00.000Z,1.33,7030.92
2018-04-09T00:00:00.000Z,1.4,7472.14
2018-04-16T00:00:00.000Z,1.58,8408.49
2018-04-23T00:00:00.000Z,1.72,9172.56
2018-04-30T00:00:00.000Z,1.76,9451.31
2018-05-07T00:00:00.000Z,1.69,8969.41
2018-05-14T00:00:00.000Z,1.56,8367.89
2018-05-21T00:00:00.000Z,1.46,7746.34
2018-05-28T00:00:00.000Z,1.39,7464.82
2018-06-04T00:00:00.000Z,1.42,7538.83
2018-06-11T00:00:00.000Z,1.25,6548.73
2018-06-18T00:00:00.000Z,1.24,6470.06
2018-06-25T00:00:00.000Z,1.19,6179.54
2018-07-02T00:00:00.000Z,1.27,6541.09
2018-07-09T00:00:00.000Z,1.25,6372.74
2018-07-16T00:00:00.000Z,1.39,7250.52
2018-07-23T00:00:00.000Z,1.55,8061.97
2018-07-30T00:00:00.000Z,1.49,7545.46
2018-08-06T00:00:00.000Z,1.28,6521.82
2018-08-13T00:00:00.000Z,1.24,6364.34
2018-08-20T00:00:00.000Z,1.27,6552.37
2018-08-27T00:00:00.000Z,1.37,7030.93
2018-09-03T00:00:00.000Z,1.33,6747.21
2018-09-10T00:00:00.000Z,1.25,6402.38
2018-09-17T00:00:00.000Z,1.28,6510.05
2018-09-24T00:00:00.000Z,1.3,6573.91
2018-10-01T00:00:00.000Z,1.3,6566.69
2018-10-08T00:00:00.000Z,1.29,6447.87
2018-10-08T00:00:00.000Z,1.25,6278.34
2018-10-15T00:00:00.000Z,1.3,6566.94
2018-10-22T00:00:00.000Z,1.3,6476.42
2018-10-29T00:00:00.000Z,1.28,6366.32
2018-11-05T00:00:00.000Z,1.3,6438.93
2018-11-12T00:00:00.000Z,1.21,5854.65
2018-11-19T00:00:00.000Z,0.948025,4421.69
2018-11-26T00:00:00.000Z,0.850934,4064.87
2018-12-03T00:00:00.000Z,0.78345,3694.07
2018-12-10T00:00:00.000Z,0.72154,3363.57
2018-12-17T00:00:00.000Z,0.802256,3840.59
2018-12-24T00:00:00.000Z,0.83086,3887.3
2018-12-31T00:00:00.000Z,0.830781,3873.53
2019-01-07T00:00:00.000Z,0.84517,3853.96
2019-01-14T00:00:00.000Z,0.801218,3659.89
2019-01-21T00:00:00.000Z,0.795093,3578.68
2019-01-28T00:00:00.000Z,0.778964,3456.19
2019-02-04T00:00:00.000Z,0.791904,3503.56
2019-02-11T00:00:00.000Z,0.822707,3622.53
2019-02-18T00:00:00.000Z,0.893004,3954.07
2019-02-25T00:00:00.000Z,0.868694,3823.4
2019-03-04T00:00:00.000Z,0.879778,3863.55
2019-03-11T00:00:00.000Z,0.895672,3916.33
2019-03-18T00:00:00.000Z,0.918998,4006.34
2019-03-25T00:00:00.000Z,0.924214,4027.36
2019-04-01T00:00:00.000Z,1.08,4857
2019-04-08T00:00:00.000Z,1.18,5168.76
2019-04-15T00:00:00.000Z,1.19,5230.41
2019-04-22T00:00:00.000Z,1.22,5339.97
2019-04-29T00:00:00.000Z,1.24,5512.5
2019-05-06T00:00:00.000Z,1.39,6277.21
2019-05-13T00:00:00.000Z,1.68,7708.43
2019-05-20T00:00:00.000Z,1.73,7960.18
2019-05-27T00:00:00.000Z,1.83,8600.83
2019-06-03T00:00:00.000Z,1.69,7892.25
2019-06-10T00:00:00.000Z,1.72,8317.08
2019-06-17T00:00:00.000Z,1.97,9770.35
2019-06-24T00:00:00.000Z,2.33,11670.09
2019-07-01T00:00:00.000Z,2.15,11101.88
2019-07-08T00:00:00.000Z,2.25,11697.52
2019-07-15T00:00:00.000Z,1.95,10286.26
2019-07-22T00:00:00.000Z,1.87,9863.02
2019-07-29T00:00:00.000Z,1.84,10172.12
2019-08-05T00:00:00.000Z,2.1,11651.48
2019-08-12T00:00:00.000Z,1.91,10509.55
2019-08-19T00:00:00.000Z,1.85,10323.38
2019-08-26T00:00:00.000Z,1.75,9845.5
2019-09-02T00:00:00.000Z,1.83,10469.8
2019-09-09T00:00:00.000Z,1.8,10247.79
2019-09-16T00:00:00.000Z,1.77,10131.12
2019-09-23T00:00:00.000Z,1.53,8544.23
2019-09-30T00:00:00.000Z,1.44,8186.08
2019-10-07T00:00:00.000Z,1.46,8362.3
2019-10-14T00:00:00.000Z,1.43,8121.82
2019-10-21T00:00:00.000Z,1.45,8382.08
2019-10-28T00:00:00.000Z,1.63,9297.53
2019-11-04T00:00:00.000Z,1.61,9149.22
2019-11-11T00:00:00.000Z,1.53,8664.84
2019-11-18T00:00:00.000Z,1.39,7712.5
2019-11-25T00:00:00.000Z,1.3,7384.94
2019-12-02T00:00:00.000Z,1.31,7424.7
2019-12-09T00:00:00.000Z,1.3,7247.74
2019-12-16T00:00:00.000Z,1.26,7089.19
2019-12-23T00:00:00.000Z,1.31,7313.15
2019-12-30T00:00:00.000Z,1.3,7251.52
2020-01-06T00:00:00.000Z,1.42,7969.01
2020-01-13T00:00:00.000Z,1.54,8661.38
2020-01-20T00:00:00.000Z,1.52,8515.54
2020-01-27T00:00:00.000Z,1.62,9242.04
2020-02-03T00:00:00.000Z,1.67,9628.43
2020-02-10T00:00:00.000Z,1.75,10120.51
2020-02-17T00:00:00.000Z,1.68,9743.1
2020-02-24T00:00:00.000Z,1.57,8996.16
2020-03-02T00:00:00.000Z,1.53,8849.42
2020-03-09T00:00:00.000Z,1.19,6561.87
2020-03-16T00:00:00.000Z,1.02,5687.18
2020-03-23T00:00:00.000Z,1.16,6441.13
2020-03-30T00:00:00.000Z,1.18,6645.2
2020-04-06T00:00:00.000Z,1.28,7112.51
2020-04-13T00:00:00.000Z,1.26,6955.44
2020-04-20T00:00:00.000Z,1.3,7276.17
2020-04-27T00:00:00.000Z,1.5,8490.68
2020-05-04T00:00:00.000Z,1.65,9274.32
2020-05-11T00:00:00.000Z,1.61,9239.1
2020-05-18T00:00:00.000Z,1.65,9353.31
2020-05-25T00:00:00.000Z,1.61,9231.05
2020-06-01T00:00:00.000Z,1.69,9694.27
2020-06-08T00:00:00.000Z,1.67,9577.49
2020-06-15T00:00:00.000Z,1.62,9347.11
2020-06-22T00:00:00.000Z,1.61,9292.1
2020-06-29T00:00:00.000Z,1.57,9118.68
2020-07-06T00:00:00.000Z,1.59,9270.99
2020-07-13T00:00:00.000Z,1.57,9182.38
2020-07-20T00:00:00.000Z,1.61,9510.08
2020-07-27T00:00:00.000Z,1.86,11127.91
2020-08-03T00:00:00.000Z,1.9,11512.79
2020-08-10T00:00:00.000Z,1.92,11679.56
2020-08-17T00:00:00.000Z,1.92,11811.59
2020-08-24T00:00:00.000Z,1.86,11492.92
2020-08-31T00:00:00.000Z,1.78,10936.76
2020-09-07T00:00:00.000Z,1.66,10275.65
2020-09-14T00:00:00.000Z,1.74,10853.31
2020-09-21T00:00:00.000Z,1.7,10585.88
2020-09-28T00:00:00.000Z,1.7,10671.64
2020-10-05T00:00:00.000Z,1.73,10907.52
2020-10-12T00:00:00.000Z,1.81,11419.51
2020-10-19T00:00:00.000Z,1.94,12577.56
2020-10-26T00:00:00.000Z,2.05,13437.01
2020-11-02T00:00:00.000Z,2.15,14559.16
2020-11-09T00:00:00.000Z,2.29,15770.33
2020-11-16T00:00:00.000Z,2.47,17766.92
2020-11-23T00:00:00.000Z,2.46,18008.4
2020-11-30T00:00:00.000Z,2.52,19034.35
2020-12-07T00:00:00.000Z,2.42,18546.49
2020-12-14T00:00:00.000Z,2.65,21611.11
2020-12-21T00:00:00.000Z,2.82,24224.25
2020-12-28T00:00:00.000Z,3.08,29136.61
2021-01-04T00:00:00.000Z,3.5,36369.55
2021-01-11T00:00:00.000Z,3.26,35923.17
2021-01-18T00:00:00.000Z,2.95,33803.78
2021-01-25T00:00:00.000Z,2.76,32943.28
2021-02-01T00:00:00.000Z,2.96,36851.1
2021-02-08T00:00:00.000Z,3.47,46292.85
2021-02-15T00:00:00.000Z,3.68,52158.52
2021-02-22T00:00:00.000Z,3.35,48417.1
2021-03-01T00:00:00.000Z,3.16,48908.08
2021-03-08T00:00:00.000Z,3.49,55939.13
2021-03-15T00:00:00.000Z,3.49,57401.9
2021-03-22T00:00:00.000Z,3.19,54412.72
2021-03-29T00:00:00.000Z,3.3,58155.27
2021-04-05T00:00:00.000Z,3.21,58314.76
2021-04-12T00:00:00.000Z,3.28,61088.15
2021-04-19T00:00:00.000Z,2.79,52577.46
2021-04-26T00:00:00.000Z,2.79,55050.31
2021-05-03T00:00:00.000Z,2.84,56899.07
2021-05-10T00:00:00.000Z,2.59,51596.39
2021-05-17T00:00:00.000Z,2.04,39095.7
2021-05-24T00:00:00.000Z,1.87,37254.63
2021-05-31T00:00:00.000Z,1.87,36826.35
2021-06-07T00:00:00.000Z,1.81,35667.85
2021-06-14T00:00:00.000Z,1.94,37880.95
2021-06-21T00:00:00.000Z,1.69,32852.72
2021-06-28T00:00:00.000Z,1.78,34523.22
2021-07-05T00:00:00.000Z,1.76,33836.57
2021-07-05T00:00:00.000Z,1.73,33594.26
2021-07-12T00:00:00.000Z,1.68,32280.38
2021-07-19T00:00:00.000Z,1.66,32308.82
2021-07-26T00:00:00.000Z,1.99,39825.49
2021-08-02T00:00:00.000Z,2.04,40850.32
2021-08-09T00:00:00.000Z,2.27,45865.19
2021-08-16T00:00:00.000Z,2.29,47027.07
2021-08-23T00:00:00.000Z,2.36,48567.28
2021-08-30T00:00:00.000Z,2.34,49013.58
2021-09-06T00:00:00.000Z,2.27,47035.36
2021-09-13T00:00:00.000Z,2.24,47083.04
2021-09-20T00:00:00.000Z,2.06,42956.96
2021-09-27T00:00:00.000Z,2.07,44503.99
2021-10-04T00:00:00.000Z,2.43,52988.37
2021-10-11T00:00:00.000Z,2.63,58175.49
2021-10-18T00:00:00.000Z,2.77,62422.23
2021-10-25T00:00:00.000Z,2.65,61167.98
2021-11-01T00:00:00.000Z,2.63,61807.9
2021-11-08T00:00:00.000Z,2.71,65218.33
2021-11-15T00:00:00.000Z,2.49,59934.79
2021-11-22T00:00:00.000Z,2.26,56516.62
2021-11-29T00:00:00.000Z,2.13,54631.61
2021-12-06T00:00:00.000Z,1.87,49375.4
2021-12-13T00:00:00.000Z,1.81,47514.03
2021-12-20T00:00:00.000Z,1.85,49357.53
2021-12-27T00:00:00.000Z,1.8,47983.05
2022-01-03T00:00:00.000Z,1.66,43785.1
