DateTime,Total Volume,Price
2019-08-12T00:00:00.000Z,1269517.0074775687,10509.549285714285
2019-08-19T00:00:00.000Z,6942093.280446598,10323.38357142857
2019-08-26T00:00:00.000Z,886159.4352171285,9845.495714285715
2019-09-02T00:00:00.000Z,990129.1925783473,10469.797142857144
2019-09-09T00:00:00.000Z,838038.2862835114,10247.785714285714
2019-09-16T00:00:00.000Z,1010870.7736615787,10131.11857142857
2019-09-23T00:00:00.000Z,1110368.033161223,8544.233571428571
2019-09-30T00:00:00.000Z,810718.8917008628,8186.08
2019-10-07T00:00:00.000Z,699821.6423580728,8362.300000000001
2019-10-14T00:00:00.000Z,893216.3189674672,8121.824285714286
2019-10-21T00:00:00.000Z,1059030.3610801029,8382.076428571429
2019-10-28T00:00:00.000Z,1401722.4868189972,9297.527857142859
2019-11-04T00:00:00.000Z,1137339.5025342,9149.217857142856
2019-11-11T00:00:00.000Z,996128.7839219229,8664.838571428572
2019-11-18T00:00:00.000Z,1159023.7615707745,7712.500714285714
2019-11-25T00:00:00.000Z,955922.017328343,7384.942857142857
2019-12-02T00:00:00.000Z,1275018.1347858312,7424.699999999999
2019-12-09T00:00:00.000Z,1095755.560322465,7301.0875
2019-12-09T00:00:00.000Z,734248.3166408276,7184.125
2019-12-16T00:00:00.000Z,1022384.4487212742,7089.192142857143
2019-12-23T00:00:00.000Z,727847.8129317386,7313.147857142857
2019-12-30T00:00:00.000Z,728323.9795598456,7251.518571428572
2020-01-06T00:00:00.000Z,857143.7902743059,7969.010714285716
2020-01-13T00:00:00.000Z,954789.9176102515,8661.381428571429
2020-01-20T00:00:00.000Z,738771.8506754786,8515.541428571427
2020-01-27T00:00:00.000Z,1089016.9934433685,9242.037857142857
2020-02-03T00:00:00.000Z,1133337.76228112,9628.434285714286
2020-02-10T00:00:00.000Z,1016759.9381830685,10120.505714285713
2020-02-17T00:00:00.000Z,977530.2485346515,9743.104285714286
2020-02-24T00:00:00.000Z,825455.7239053258,8996.162857142857
2020-03-02T00:00:00.000Z,810003.4602031586,8849.416428571429
2020-03-09T00:00:00.000Z,1528698.7631971443,6561.87
2020-03-16T00:00:00.000Z,1204158.82209523,5687.179999999999
2020-03-23T00:00:00.000Z,944630.6600565285,6441.128571428572
2020-03-30T00:00:00.000Z,925879.89797724,6645.195714285714
2020-04-06T00:00:00.000Z,903117.0480071356,7112.505714285716
2020-04-13T00:00:00.000Z,836054.9689456442,6955.442857142857
2020-04-20T00:00:00.000Z,834735.2885612457,7276.172142857143
2020-04-27T00:00:00.000Z,1156228.1243242002,8490.679285714286
2020-05-04T00:00:00.000Z,1092515.6812711756,9274.316428571428
2020-05-11T00:00:00.000Z,971709.3389443315,9239.103571428572
2020-05-18T00:00:00.000Z,920773.2697482686,9353.314285714285
2020-05-25T00:00:00.000Z,912362.0827153501,9231.052857142859
2020-06-01T00:00:00.000Z,1016321.4189541256,9694.272857142858
2020-06-08T00:00:00.000Z,850423.9614548614,9577.494999999999
2020-06-15T00:00:00.000Z,936498.25828886,9347.10642857143
2020-06-22T00:00:00.000Z,1043093.72146101,9292.098571428573
2020-06-29T00:00:00.000Z,925154.1018274014,9118.680714285716
2020-07-06T00:00:00.000Z,925550.6499383057,9270.986428571428
2020-07-13T00:00:00.000Z,873345.9696909972,9182.377857142857
2020-07-20T00:00:00.000Z,904083.0125650844,9510.075714285715
2020-07-27T00:00:00.000Z,1051438.042502034,11127.904999999999
2020-08-03T00:00:00.000Z,977125.7313243414,11512.789285714285
2020-08-10T00:00:00.000Z,1234698.771653076,11679.55642857143
2020-08-17T00:00:00.000Z,1853487.6670513828,11811.590714285714
2020-08-24T00:00:00.000Z,1873264.9650191297,11492.917142857143
2020-08-31T00:00:00.000Z,2539602.9324188866,10936.75857142857
2020-09-07T00:00:00.000Z,2959318.34141917,10275.647142857142
2020-09-14T00:00:00.000Z,3117805.3027220783,10853.306428571426
2020-09-21T00:00:00.000Z,2656628.4818535442,10585.881428571429
2020-09-28T00:00:00.000Z,2286524.2667363016,10671.644285714287
2020-10-05T00:00:00.000Z,2158614.0543994484,10907.520714285714
2020-10-12T00:00:00.000Z,2342297.8127748715,11419.511428571428
