DateTime,New Addresses,Active Addresses,Zero Balance Addresses,Price
2009-12-26T00:00:00.000Z,174,174,,
2009-12-27T00:00:00.000Z,168,173,5,
2009-12-28T00:00:00.000Z,137,137,,
2009-12-29T00:00:00.000Z,171,171,,
2009-12-30T00:00:00.000Z,141,141,,
2009-12-31T00:00:00.000Z,138,138,,
2010-01-01T00:00:00.000Z,134,136,2,
2010-01-02T00:00:00.000Z,126,126,,
2010-01-03T00:00:00.000Z,186,186,,
2010-01-04T00:00:00.000Z,183,266,82,
2010-01-05T00:00:00.000Z,198,198,,
2010-01-06T00:00:00.000Z,163,163,,
2010-01-07T00:00:00.000Z,154,154,,
2010-01-08T00:00:00.000Z,153,153,,
2010-01-09T00:00:00.000Z,151,151,,
2010-01-10T00:00:00.000Z,190,190,,
2010-01-11T00:00:00.000Z,159,159,,
2010-01-12T00:00:00.000Z,159,375,213,
2010-01-13T00:00:00.000Z,166,168,,
2010-01-14T00:00:00.000Z,145,155,9,
2010-01-15T00:00:00.000Z,141,147,4,
2010-01-16T00:00:00.000Z,126,132,6,
2010-01-17T00:00:00.000Z,131,131,,
2010-01-18T00:00:00.000Z,127,128,1,
2010-01-19T00:00:00.000Z,124,124,,
2010-01-20T00:00:00.000Z,158,158,,
2010-01-21T00:00:00.000Z,183,187,11,
2010-01-22T00:00:00.000Z,135,141,5,
2010-01-23T00:00:00.000Z,161,164,1,
2010-01-24T00:00:00.000Z,154,156,1,
2010-01-25T00:00:00.000Z,215,272,57,
2010-01-26T00:00:00.000Z,197,215,17,
2010-01-27T00:00:00.000Z,164,181,20,
2010-01-28T00:00:00.000Z,177,199,21,
2010-01-29T00:00:00.000Z,198,213,19,
2010-01-30T00:00:00.000Z,212,248,34,
2010-01-31T00:00:00.000Z,166,184,18,
2010-02-01T00:00:00.000Z,192,203,17,
2010-02-02T00:00:00.000Z,145,167,21,
2010-02-03T00:00:00.000Z,270,277,6,
2010-02-04T00:00:00.000Z,233,269,41,
2010-02-05T00:00:00.000Z,227,472,244,
2010-02-06T00:00:00.000Z,194,224,30,
2010-02-07T00:00:00.000Z,222,230,10,
2010-02-08T00:00:00.000Z,205,329,123,
2010-02-09T00:00:00.000Z,210,623,417,
2010-02-10T00:00:00.000Z,169,777,606,
2010-02-11T00:00:00.000Z,169,245,74,
2010-02-12T00:00:00.000Z,187,225,39,
2010-02-13T00:00:00.000Z,234,318,85,
2010-02-14T00:00:00.000Z,212,263,53,
2010-02-15T00:00:00.000Z,183,271,91,
2010-02-16T00:00:00.000Z,199,217,16,
2010-02-17T00:00:00.000Z,243,267,24,
2010-02-18T00:00:00.000Z,211,267,58,
2010-02-19T00:00:00.000Z,197,198,4,
2010-02-20T00:00:00.000Z,209,221,13,
2010-02-21T00:00:00.000Z,225,344,126,
2010-02-22T00:00:00.000Z,263,531,267,
2010-02-23T00:00:00.000Z,251,252,1,
2010-02-24T00:00:00.000Z,173,283,107,
2010-02-25T00:00:00.000Z,156,300,143,
2010-02-26T00:00:00.000Z,174,196,20,
2010-02-27T00:00:00.000Z,172,184,9,
2010-02-28T00:00:00.000Z,157,264,106,
