"DateTime","Netflow","Price"
"2014-03-03 00:00:00",137846.21,634.21
"2014-03-10 00:00:00",10695.68,619.25
"2014-03-17 00:00:00",29200.13,579.74
"2014-03-24 00:00:00",48429.6,515.26
"2014-03-31 00:00:00",144506.82,445.53
"2014-04-07 00:00:00",-2299.466732,444.15
"2014-04-14 00:00:00",93441.74,497.51
"2014-04-21 00:00:00",94444.11,482.35
"2014-04-28 00:00:00",134496,443.79
"2014-05-05 00:00:00",8470.75,441.6
"2014-05-12 00:00:00",45268.23,444.58
"2014-05-19 00:00:00",188594.3,499.07
"2014-05-26 00:00:00",242343.11,591.17
"2014-06-02 00:00:00",361581.36,649.15
"2014-06-09 00:00:00",518967.01,619.62
"2014-06-16 00:00:00",16638.52,599.6
"2014-06-23 00:00:00",6473.52,589.85
"2014-06-30 00:00:00",193724.07,630.14
"2014-07-07 00:00:00",-730.238089,622.54
"2014-07-14 00:00:00",5671.53,622.93
"2014-07-21 00:00:00",21030.95,611.07
"2014-07-28 00:00:00",40816.44,585.99
"2014-08-04 00:00:00",15716.35,592.37
"2014-08-11 00:00:00",20151.94,532.29
"2014-08-18 00:00:00",43909.75,498.03
"2014-08-25 00:00:00",210808.86,508.46
"2014-09-01 00:00:00",-1032.651924,483.94
"2014-09-08 00:00:00",19471.51,477.65
"2014-09-15 00:00:00",31882.63,438.18
"2014-09-22 00:00:00",11982.85,410.16
"2014-09-29 00:00:00",46188.77,367.29
"2014-10-06 00:00:00",480577.16,350.46
"2014-10-13 00:00:00",161082.45,386.58
"2014-10-20 00:00:00",47465.74,367.03
"2014-10-27 00:00:00",124145.57,340.71
"2014-11-03 00:00:00",41333.25,338.62
"2014-11-10 00:00:00",189220.72,392.31
"2014-11-17 00:00:00",-660.926369,371.41
"2014-11-24 00:00:00",263954.7,375.38
"2014-12-01 00:00:00",380441.11,376.47
"2014-12-08 00:00:00",142371.15,353.63
"2014-12-15 00:00:00",-73999.998124,326.9
"2014-12-22 00:00:00",76773.5,324.6
"2014-12-29 00:00:00",11127.16,306.73
"2015-01-05 00:00:00",14073.35,279.8
"2015-01-12 00:00:00",12095.25,217.53
"2015-01-19 00:00:00",184571.66,227.41
"2015-01-26 00:00:00",-7309.854669,243.51
"2015-02-02 00:00:00",-3537.920975,226.75
"2015-02-09 00:00:00",19074.76,229.17
"2015-02-16 00:00:00",9632.57,239.95
"2015-02-23 00:00:00",1861.27,242.64
"2015-03-02 00:00:00",19519.84,273.07
"2015-03-09 00:00:00",163450.65,289
"2015-03-16 00:00:00",23897.08,269.24
"2015-03-23 00:00:00",37393.41,250.65
"2015-03-30 00:00:00",4185.59,248.99
"2015-04-06 00:00:00",46621.69,244.18
"2015-04-13 00:00:00",45201.69,223.79
"2015-04-20 00:00:00",18629.04,229.11
"2015-04-27 00:00:00",18660.89,231.62
"2015-05-04 00:00:00",20009.99,238.44
"2015-05-11 00:00:00",38235.93,238.17
"2015-05-18 00:00:00",9017.15,236.25
"2015-05-25 00:00:00",4961.86,236.17
"2015-06-01 00:00:00",-6373.256922,225.04
"2015-06-08 00:00:00",18523.32,229.99
"2015-06-15 00:00:00",37045.41,244.75
"2015-06-22 00:00:00",6107.59,244.54
"2015-06-29 00:00:00",-2729.400715,258.48
"2015-07-06 00:00:00",19942.82,278.97
"2015-07-13 00:00:00",28367.27,281.19
"2015-07-20 00:00:00",15031.91,280.63
"2015-07-27 00:00:00",11345.6,286.76
"2015-08-03 00:00:00",111109.95,276.37
"2015-08-10 00:00:00",286672.59,263.8
"2015-08-17 00:00:00",238079.86,237.27
"2015-08-24 00:00:00",320554.2,223.61
"2015-08-31 00:00:00",277139.34,230.25
"2015-09-07 00:00:00",161898.29,238.43
"2015-09-14 00:00:00",18558.71,231.43
"2015-09-21 00:00:00",69269.42,231.81
"2015-09-28 00:00:00",32341.25,239.84
"2015-10-05 00:00:00",104336.71,243.33
"2015-10-12 00:00:00",64097.72,256.33
"2015-10-19 00:00:00",-7327.354442,273.73
"2015-10-26 00:00:00",12898.67,305.97
"2015-11-02 00:00:00",116307.16,385.2
"2015-11-09 00:00:00",36649.25,339.07
"2015-11-16 00:00:00",122897.07,326.61
"2015-11-23 00:00:00",63002.45,340.91
"2015-11-30 00:00:00",111537.87,369.67
"2015-12-07 00:00:00",83128.93,416.96
"2015-12-14 00:00:00",-2370.169708,451.66
"2015-12-21 00:00:00",-17976.941376,437.35
"2015-12-28 00:00:00",36999.27,428.22
"2016-01-04 00:00:00",40745.56,440.54
"2016-01-11 00:00:00",50820.17,414.98
